WC2A 1AF,51.517907,-0.113471
S33 0WU,53.348536,-1.689672
N3 1AG,51.607975,-0.194658
BD7 1EB,53.790956,-1.762332
CV35 0AD,52.203531,-1.50185
EH91 5AG,55.923227,-3.305118
BS41 8JF,51.401996,-2.640433
CT16 1AN,51.126331,1.311228
W1F 0AG,51.512546,-0.134651
RG20 0AD,51.345132,-1.409047
S8 0FA,53.338804,-1.495392
LE14 2WB,52.768408,-0.867598
NE46 1AB,54.968322,-2.088816
OX7 3AA,51.866984,-1.478936
B40 1PA,52.452166,-1.723494
WC1B 3AD,51.517902,-0.128908
SW1E 5BA,51.498125,-0.140596
NG22 0AN,53.167115,-1.001603
CT16 1AB,51.130714,1.315602
NR34 0ND,52.475483,1.547663
BS41 8JG,51.402393,-2.646764
NN11 0GD,52.275868,-1.161311
L33 0XB,53.481366,-2.88062
NN4 0LY,52.193711,-0.891869
BD23 1AA,53.962848,-2.01551
OX7 3AE,51.863141,-1.47619
DN36 4AD,53.534204,-0.033978
NR29 3AJ,52.678465,1.707811
NG22 0AP,53.176115,-0.98902
LN6 0AD,53.210895,-0.576468
SG4 0AA,51.960337,-0.26704
SW19 3RZ,51.418525,-0.207699
SW19 1ZW,51.416938,-0.213374
DN21 1AD,53.388869,-0.772409
EC3M 1AJ,51.510498,-0.084695
CT16 1AJ,51.129399,1.316923
BT20 3AF,54.661082,-5.669201
SN1 1DG,51.564733,-1.785212
AB39 2AJ,56.966195,-2.208748
RG20 0YN,51.400071,-1.322063
BS37 0BN,51.539471,-2.414055
N3 1AD,51.607411,-0.193063
EH91 5AF,55.943218,-3.232954
M14 0SP,53.439339,-2.221159
CB4 0AB,52.23743,0.144855
LE16 0AN,52.483686,-0.905523
DL8 1AQ,54.289639,-1.59281
LE14 2FA,52.723506,-0.896568
M34 0AT,53.455571,-2.112696
W1F 0AH,51.512622,-0.134428
BH21 1AJ,50.797688,-1.979204
GL5 4GA,51.747593,-2.248265
NG34 0WA,52.996313,-0.409437
GU32 1YP,51.003875,-0.93828
LE15 0BG,52.670447,-0.727878
GU32 1AE,51.026164,-0.951845
EH52 5WX,55.884731,-3.628027
IV10 8AB,57.580699,-4.118625
DN21 1AH,53.385932,-0.773591
WF9 1QA,53.627961,-1.299854
NG34 0XD,52.996313,-0.409437
CV35 0AE,52.205207,-1.489419
BS37 0BL,51.539471,-2.414055
DN36 4AH,53.538313,-0.042254
EH52 5AB,55.934583,-3.4704
DL8 1AB,54.289633,-1.593655
M14 0HD,53.439339,-2.221159
KW10 6RB,57.974999,-3.970704
NN11 0GB,52.276186,-1.163049
N3 1AA,51.606477,-0.192566
LS6 1AD,53.817675,-1.575675
EC1V 0AJ,51.52741,-0.101689
NR34 0AB,52.483256,1.606797
BD23 1AD,53.963878,-2.018914
EC3M 1AA,51.510603,-0.085599
SY4 1AB,52.728326,-2.861559
WF9 1WP,53.613149,-1.28329
OX12 0AB,51.603216,-1.422687
LS9 0AE,53.791042,-1.51594
DT10 1ZX,50.929463,-2.301238
LE15 0AW,52.670447,-0.727878
DN36 4AF,53.535202,-0.034007
NG34 0AB,52.951804,-0.374303
KW10 6RF,57.975496,-3.97342
BS14 0AA,51.420733,-2.580379
AB39 2AA,56.964753,-2.20809
SN13 0AG,51.434233,-2.192127
LS9 0AF,53.790896,-1.517657
L74 4AG,53.393821,-2.987868
CH48 0QG,53.372477,-3.188442
LE15 0ZZ,52.670462,-0.727611
TF6 5AD,52.691647,-2.566125
BH21 1AF,50.797851,-1.983006
NR34 0FR,52.496583,1.575231
DL10 4AB,54.406364,-1.734835
SN10 1GA,51.355072,-1.996885
BT66 6WG,54.474842,-6.34675
AB39 2ZH,56.96148,-2.223505
NE46 1AJ,54.972389,-2.093167
RH5 4AF,51.232569,-0.322182
B40 1NT,52.45195,-1.719625
DL10 4AF,54.404665,-1.742795
EC1V 0AG,51.525465,-0.1004
IV10 8AA,57.580373,-4.119843
AB56 1YA,57.672697,-2.990244
AB56 1AA,57.671865,-2.96333
SY4 1AA,52.728757,-2.862029
EC3M 2RY,51.513149,-0.080594
M34 0AG,53.455571,-2.112696
EH52 5AA,55.934474,-3.47126
S33 0AB,53.41647,-1.797658
